start,O'Connor
-33.8877,120.6443
-33.8862,120.5934
-33.8942,120.5661
-33.9031,120.5533
-33.9264,120.5583
-33.9244,120.5557
-33.9252,120.5505
-33.9343,120.5205
-33.9393,120.5108
-33.9466,120.5040
-33.9556,120.4800
-33.9565,120.4717
-33.9595,120.4696
-33.9643,120.4566
-33.9639,120.4458
-33.9688,120.4379
-33.9718,120.4365
-33.9607,120.3994
-33.9529,120.3666
-33.9475,120.3315
-33.9447,120.3267
-33.9449,120.3208
-33.9422,120.3154
-33.9413,120.2991
-33.9342,120.2533
-33.9324,120.2310
-33.9346,120.2203
-33.9360,120.1943
-33.9341,120.1855
-33.9348,120.1767
-33.9423,120.1533
-33.9449,120.1497
-33.9467,120.1337
-33.9509,120.1273
-33.9539,120.1275
-33.9544,120.1265
-33.9518,120.1260
-33.9514,120.1186
-33.9474,120.1166
-33.9447,120.1130
-33.9393,120.0923
-33.9311,120.0763
-33.9311,120.0670
-33.9264,120.0593
-33.9231,120.0440
-33.9358,119.9913
-33.9778,119.9443
-33.9747,119.9445
-33.9767,119.9393
-33.9748,119.9365
-33.9765,119.9287
-33.9726,119.9304
-33.9712,119.9293
-33.9683,119.9204
-33.9678,119.9082
-33.9704,119.9005
-33.9692,119.8992
-33.9692,119.8830
-33.9721,119.8774
-33.9702,119.8732
-33.9698,119.8506
-33.9840,119.8185
-33.9834,119.8163
-33.9851,119.8161
-33.9909,119.8032
-33.9995,119.7980
-34.0054,119.7879
-34.0084,119.7881
-34.0093,119.7860
-34.0136,119.7881
-34.0172,119.7849
-34.0267,119.7817
-34.0267,119.7784
-34.0298,119.7747
-34.0408,119.7504
-34.0470,119.7452
-34.0468,119.7438
-34.0488,119.7437
-34.0561,119.7366
-34.0607,119.7338
-34.0609,119.7271
-34.0585,119.7240
-34.0623,119.7129
-34.0617,119.7109
-34.0647,119.7047
-34.0687,119.7030
-34.0713,119.6984
-34.0704,119.6989
-34.0702,119.6958
-34.0720,119.6909
-34.0767,119.6883
-34.0798,119.6794
-34.0784,119.6747
-34.0817,119.6624
-34.0927,119.6428
-34.0984,119.6366
-34.1047,119.6334
-34.1094,119.6338
-34.1102,119.6387
-34.1113,119.6401
-34.1117,119.6403
-34.1126,119.6402
-34.1189,119.6211
-34.1261,119.6087
-34.1345,119.5974
-34.1509,119.5826
-34.1601,119.5785
-34.1666,119.5784
-34.1698,119.5813
-34.1708,119.5878
-34.1783,119.5772
-34.1839,119.5728
-34.1850,119.5693
-34.1892,119.5671
-34.1966,119.5585
-34.1989,119.5540
-34.2213,119.5349
-34.2493,119.5178
-34.2665,119.5103
-34.2880,119.5037
-34.2880,119.4573
-34.2903,119.5032
-34.3085,119.4998
-34.3300,119.4991
-34.3466,119.5017
-34.3591,119.5074
-34.3678,119.5289
-34.3781,119.5357
-34.3828,119.5418
-34.3836,119.5446
-34.3807,119.5486
-34.3790,119.5564
-34.3874,119.5756
-34.3863,119.5718
-34.3887,119.5716
-34.3911,119.5579
-34.3896,119.5474
-34.3933,119.5470
-34.3921,119.5410
-34.3939,119.5398
-34.3931,119.5369
-34.3957,119.5362
-34.3957,119.5331
-34.4000,119.5302
-34.4011,119.5316
-34.4032,119.5277
-34.4044,119.5238
-34.4029,119.5196
-34.4063,119.5183
-34.4114,119.5027
-34.4087,119.5006
-34.4083,119.4945
-34.4021,119.4781
-34.3986,119.4866
-34.3969,119.4863
-34.3930,119.4924
-34.3838,119.4909
-34.3752,119.4825
-34.3742,119.4504
-34.3718,119.4527
-34.3690,119.4506
-34.3664,119.4419
-34.3691,119.4273
-34.3732,119.4157
-34.3798,119.4048
-34.3868,119.3986
-34.3900,119.3979
-34.3938,119.3998
-34.3935,119.4047
-34.4128,119.3926
-34.4194,119.3908
-34.4338,119.4009
-34.4372,119.3977
-34.4401,119.3972
-34.4446,119.4040
-34.4486,119.4037
-34.4499,119.4015
-34.4525,119.4024
-34.4566,119.4170
-34.4589,119.4186
-34.4583,119.3934
-34.4595,119.3901
-34.4634,119.3872
-34.4657,119.3872
-34.4670,119.3840
-34.4703,119.3826
-34.4752,119.3821
-34.4764,119.3849
-34.4853,119.3821
-34.4807,119.3706
-34.4794,119.3717
-34.4798,119.3684
-34.4749,119.3599
-34.4747,119.3557
-34.4690,119.3605
-34.4695,119.3622
-34.4674,119.3650
-34.4624,119.3661
-34.4566,119.3635
-34.4557,119.3606
-34.4532,119.3611
-34.4521,119.3595
-34.4532,119.3578
-34.4501,119.3558
-34.4504,119.3515
-34.4462,119.3463
-34.4443,119.3311
-34.4448,119.3147
-34.4477,119.3009
-34.4519,119.2898
-34.4591,119.2789
-34.4660,119.2719
-34.4690,119.2711
-34.4833,119.2755
-34.4859,119.2750
-34.4872,119.2768
-34.5130,119.2848
-34.5124,119.2807
-34.5144,119.2786
-34.5168,119.2670
-34.5154,119.2667
-34.5188,119.2578
-34.5299,119.2536
-34.5305,119.2553
-34.5346,119.2544
-34.5342,119.2521
-34.5318,119.2522
-34.5338,119.2470
-34.5311,119.2348
-34.5313,119.2222
-34.5161,119.2393
-34.5072,119.2319
-34.4979,119.2178
-34.4858,119.1807
-34.4945,119.1522
-34.4922,119.1474
-34.4908,119.1466
-34.4885,119.1486
-34.4836,119.1452
-34.4773,119.1341
-34.4739,119.1254
-34.4739,119.1206
-34.4701,119.1175
-34.4707,119.1104
-34.4690,119.1050
-34.4658,119.1021
-34.4669,119.0947
-34.4639,119.0894
-34.4635,119.0831
-34.4588,119.0691
-34.4556,119.0237
-34.4510,118.9856
-34.4512,118.9609
-34.4550,118.9346
-34.4628,118.9117
-34.4681,118.9047
-34.4764,118.9009
-34.4906,118.9079
-34.4988,118.9063
-34.5002,118.9127
-34.5031,118.9141
-34.5034,118.9078
-34.4996,118.8841
-34.5011,118.8561
-34.5023,118.8446
-34.5069,118.8334
-34.5066,118.8235
-34.5089,118.8189
-34.5094,118.8115
-34.5339,118.7700
-34.5455,118.7553
-34.5590,118.7448
-34.5735,118.7396
-34.5780,118.7393
-34.5809,118.7425
-34.5936,118.7454
-34.5966,118.7480
-34.5977,118.7551
-34.6036,118.7564
-34.6090,118.7817
-34.6106,118.7775
-34.6156,118.7734
-34.6150,118.7702
-34.6178,118.7688
-34.6224,118.7519
-34.6256,118.7515
-34.6303,118.7455
-34.6326,118.7463
-34.6352,118.7444
-34.6378,118.7459
-34.6405,118.7362
-34.6437,118.7344
-34.6441,118.7315
-34.6482,118.7308
-34.6532,118.7222
-34.6568,118.7223
-34.6576,118.7173
-34.6550,118.7135
-34.6562,118.7078
-34.6549,118.7067
-34.6548,118.7013
-34.6574,118.6989
-34.6584,118.6919
-34.6624,118.6866
-34.6618,118.6844
-34.6645,118.6827
-34.6678,118.6660
-34.6784,118.6514
-34.6826,118.6493
-34.6839,118.6509
-34.6912,118.6451
-34.6882,118.6352
-34.6866,118.6200
-34.6886,118.6132
-34.6915,118.6106
-34.6905,118.6072
-34.6980,118.6012
-34.6957,118.5946
-34.6971,118.5863
-34.7016,118.5851
-34.7016,118.5800
-34.7048,118.5801
-34.7054,118.5770
-34.7027,118.5725
-34.7036,118.5619
-34.7065,118.5523
-34.7106,118.5522
-34.7105,118.5442
-34.7128,118.5419
-34.7174,118.5198
-34.7279,118.5005
-34.7271,118.4969
-34.7361,118.4761
-34.7474,118.4566
-34.7607,118.4401
-34.7773,118.4248
-34.7897,118.4165
-34.8072,118.4071
-34.8238,118.4004
-34.8519,118.3948
-34.8656,118.3950
-34.8766,118.3970
-34.8814,118.4031
-34.8813,118.4064
-34.8796,118.4079
-34.8785,118.4071
-34.8808,118.4126
-34.8814,118.4224
-34.8901,118.4251
-34.891,118.4225
-34.8933,118.4221
-34.8987,118.4277
-34.9002,118.4255
-34.8992,118.4235
-34.9007,118.4224
-34.8997,118.4196
-34.9026,118.4139
-34.9008,118.4109
-34.9037,118.4079
-34.9051,118.4026
-34.9082,118.4046
-34.9107,118.4040
-34.9126,118.4066
-34.9167,118.4034
-34.9126,118.3923
-34.9107,118.3922
-34.9091,118.3897
-34.9078,118.3907
-34.9055,118.3869
-34.9027,118.3785
-34.9028,118.3722
-34.9045,118.3704
-34.9025,118.3681
-34.9037,118.3678
-34.8914,118.3340
-34.9039,118.3129
-34.9028,118.3058
-34.9049,118.3037
-34.9036,118.2986
-34.9063,118.2982
-34.9078,118.3019
-34.9118,118.2996
-34.9123,118.2927
-34.9107,118.2910
-34.9126,118.2802
-34.9084,118.2656
-34.9085,118.2598
-34.9122,118.2556
-34.9166,118.2543
-34.9157,118.2507
-34.9177,118.2437
-34.9149,118.2416
-34.9144,118.2391
-34.9198,118.2236
-34.9274,118.2120
-34.9349,118.2068
-34.9365,118.2093
-34.9407,118.2096
-34.9411,118.2124
-34.9439,118.2109
-34.9409,118.2090
-34.9415,118.2031
-34.9403,118.2007
-34.9421,118.1979
-34.9393,118.1960
-34.9388,118.1894
-34.9370,118.1873
-34.9379,118.1840
-34.9401,118.1847
-34.9409,118.1829
-34.9380,118.1793
-34.9400,118.1753
-34.9538,118.1697
-34.9612,118.1697
-34.9677,118.1725
-34.9726,118.1796
-34.9715,118.1858
-34.9788,118.2106
-34.9960,118.2044
-34.9975,118.2013
-35.0036,118.1999
-35.0032,118.2018
-35.0231,118.1946
-35.0191,118.1907
-35.0134,118.1921
-35.0148,118.1865
-34.9952,118.1674
-34.9878,118.1359
-34.9888,118.1313
-34.9859,118.1087
-34.9880,118.0903
-34.9939,118.0718
-34.9999,118.0612
-35.0014,118.0606
-35.0030,118.0626
-35.0019,118.0601
-35.0042,118.0591
-35.0037,118.0573
-35.0064,118.0535
-35.0101,118.0507
-35.0120,118.0527
-35.0164,118.0432
-35.0145,118.042
-35.0146,118.0393
-35.0175,118.0362
-35.0193,118.0371
-35.0204,118.0348
-35.0199,118.0304
-35.0176,118.0302
-35.0158,118.0258
-35.0172,118.0034
-35.0129,118.0044
-35.0100,117.9988
-35.0143,117.9741
-35.0124,117.9657
-35.0131,117.9618
-35.0018,117.9488
-34.9909,117.9797
-34.9400,117.9814
-34.9520,117.9769
-34.9436,117.9489
-34.9981,117.9486
-35.0050,117.9310
-35.0165,117.9186
-35.0224,117.9162
