start,Banks
-33.6223,151.1855
-33.6280,151.1821
-33.6258,151.1799
-33.6272,151.1757
-33.6263,151.1732
-33.6319,151.1733
-33.6331,151.1712
end
start,Berowra
-33.6127,151.2226
-33.6181,151.2288
-33.6170,151.2235
-33.6127,151.2226
end
start,Berowra
-33.6181,151.2288
-33.6181,151.2288
-33.6181,151.2288
-33.6181,151.2288
end
start,Berowra
-33.6087,151.2240
-33.6073,151.2233
-33.6074,151.2260
-33.6085,151.2263
-33.6087,151.2240
end
start,Berowra
-33.5999,151.2195
-33.5996,151.2193
-33.5997,151.2196
-33.5999,151.2195
end
start,Berowra
-33.5997,151.2202
-33.6004,151.2244
-33.6037,151.2231
-33.5997,151.2202
end
start,Berowra
-33.6012,151.2295
-33.6023,151.2369
-33.6026,151.2367
-33.6020,151.2340
-33.6035,151.2315
-33.6012,151.2295
end
start,Berowra
-33.6054,151.2567
-33.6054,151.2567
-33.6054,151.2567
-33.6054,151.2567
end
start,Berowra
-33.5975,151.2537
-33.5936,151.2522
-33.5932,151.2586
-33.5953,151.2586
-33.5977,151.2626
-33.5994,151.2609
-33.5968,151.2562
-33.5975,151.2537
end
start,Berowra
-33.5883,151.2502
-33.5880,151.2500
-33.5757,151.2829
-33.5778,151.2829
-33.5800,151.2811
-33.5829,151.2764
-33.5830,151.2723
-33.5889,151.2730
-33.5860,151.2685
-33.5900,151.2608
-33.5877,151.2516
-33.5883,151.2502
end
start,Blaxland
-33.8428,151.0440
-33.8513,151.0370
-33.8532,151.0403
-33.8584,151.0431
-33.8670,151.0412
-33.8701,151.0424
-33.9022,151.0366
-33.9053,151.04
-33.9133,151.0422
-33.9248,151.0381
-33.9285,151.0387
-33.9404,151.0356
-33.9411,151.0201
-33.9397,151.0079
-33.9435,150.9980
-33.9469,150.9706
-33.9445,150.9671
-33.9425,150.9660
-33.9382,150.9686
-33.9328,150.9675
-33.9309,150.9686
-33.9291,150.9719
-33.9301,150.9776
-33.9291,150.9790
-33.9185,150.9738
-33.9113,150.9744
-33.9075,150.9731
-33.9092,150.9770
-33.9063,150.9794
-33.9010,150.9733
-33.8980,150.9725
-33.8964,150.9683
-33.8901,150.9671
-33.8894,150.9733
-33.8603,150.9935
-33.8513,150.9964
-33.8530,151.0148
-33.8500,151.0179
-33.8467,151.0163
-33.8386,151.0178
-33.8344,151.0237
-33.8352,151.0297
-33.8428,151.0440
end
start,Bradfield
-33.7916,151.2334
-33.7863,151.2327
-33.7889,151.2349
-33.7916,151.2334
end
start,Bradfield
-33.7745,151.2059
-33.7842,151.2133
-33.7874,151.2325
-33.7898,151.2148
-33.7897,151.2147
-33.7905,151.2126
-33.7852,151.2008
-33.7902,151.2029
-33.7977,151.1782
-33.7957,151.1767
-33.7968,151.1681
-33.7942,151.1645
-33.7940,151.1592
-33.7904,151.1525
-33.7944,151.1486
-33.7883,151.1469
-33.7874,151.1488
-33.7855,151.1448
-33.7811,151.1427
-33.7823,151.1397
-33.7747,151.1392
-33.7760,151.1367
-33.7750,151.1324
-33.7730,151.1328
-33.7725,151.1256
-33.7684,151.1199
-33.7628,151.1192
-33.7613,151.1168
-33.7625,151.1094
-33.7614,151.1055
-33.7576,151.1053
-33.7543,151.1020
-33.7547,151.1005
-33.7485,151.0985
-33.7477,151.0934
-33.7445,151.0907
-33.7409,151.0921
-33.7354,151.0900
-33.7334,151.0925
-33.7304,151.0923
-33.7297,151.0959
-33.7207,151.0971
-33.7176,151.0996
-33.7086,151.0971
-33.6968,151.1001
-33.6869,151.1093
-33.6785,151.1126
-33.6786,151.1250
-33.6746,151.1340
-33.6781,151.1379
-33.6778,151.1417
-33.6744,151.1471
-33.6697,151.1488
-33.6670,151.1554
-33.6634,151.1544
-33.6637,151.1577
-33.6596,151.1615
-33.6674,151.1686
-33.6732,151.1671
-33.676,151.1685
-33.6775,151.1718
-33.6858,151.1656
-33.6918,151.1738
-33.6931,151.1726
-33.6968,151.1745
-33.6985,151.1885
-33.7026,151.1914
-33.7206,151.1877
-33.7257,151.1889
-33.7264,151.1912
-33.7282,151.1917
-33.7283,151.1871
-33.7324,151.1825
-33.7408,151.1804
-33.7439,151.1849
-33.7436,151.1883
-33.7502,151.1938
-33.7527,151.1935
-33.7540,151.1957
-33.7559,151.1913
-33.7577,151.1913
-33.7616,151.1984
-33.7679,151.1994
-33.7701,151.2032
-33.7731,151.2035
-33.7745,151.2059
end
start,Bradfield
-33.7899,151.2149
-33.7914,151.2191
-33.7922,151.2168
-33.7899,151.2149
end
start,Bradfield
-33.7920,151.2208
-33.7943,151.2272
-33.7948,151.2256
-33.7920,151.2208
end
start,Calare
-33.1098,150.6197
-33.1100,150.6137
-33.1084,150.6099
-33.1134,150.6094
-33.1153,150.6123
-33.1188,150.6122
-33.1198,150.6081
-33.1249,150.6060
-33.1226,150.6027
-33.1246,150.5986
-33.1279,150.5994
-33.1348,150.6103
-33.1394,150.6116
-33.1433,150.6098
-33.1472,150.6049
-33.1449,150.5967
-33.1475,150.5928
-33.1478,150.5864
-33.1526,150.5866
-33.1602,150.5897
-33.1621,150.5847
-33.1657,150.5856
-33.1678,150.5841
-33.1681,150.5698
-33.1655,150.5694
-33.1586,150.5731
-33.1568,150.5727
-33.1558,150.5698
-33.1568,150.5671
-33.1620,150.5642
-33.1616,150.5549
-33.1673,150.5551
-33.1707,150.5519
-33.1752,150.5557
-33.1837,150.5523
-33.1850,150.5439
-33.1886,150.5429
-33.1877,150.539
-33.1920,150.5364
-33.1912,150.5312
-33.1940,150.5279
-33.1944,150.5238
-33.1982,150.5303
-33.2106,150.5332
-33.2146,150.5416
-33.2209,150.5443
