start,Bass
-40.9831,147.3609
-40.9827,147.3618
-40.9820,147.3598
-40.9804,147.3842
-40.9982,147.3919
-41.0000,147.3945
-41.0085,147.3989
-41.0139,147.4121
-41.0139,147.4257
-41.0127,147.4303
-41.0098,147.4298
-41.0118,147.4345
-41.0090,147.4327
-41.0099,147.4051
-41.0061,147.4044
-41.0029,147.3970
-41.0068,147.4126
-41.0029,147.4414
-40.9964,147.4577
-40.9793,147.4907
-40.9664,147.5080
-40.9506,147.5255
-40.9272,147.5463
-40.8931,147.5828
-40.8719,147.5886
-40.8716,147.5907
-40.8704,147.5890
-40.8636,147.5908
-40.8637,147.5940
-40.8590,147.5950
-40.8561,147.5989
-40.8547,147.5976
-40.8518,147.5987
-40.8508,147.5950
-40.8491,147.5948
-40.8471,147.6033
-40.8476,147.6145
-40.8450,147.6268
-40.8380,147.6441
-40.8341,147.6458
-40.8338,147.6514
-40.8249,147.6613
-40.8210,147.6696
-40.8224,147.6709
-40.8273,147.6692
-40.8350,147.6828
-40.8450,147.6921
-40.8508,147.6946
-40.8603,147.7064
-40.8627,147.7216
-40.8585,147.7387
-40.8576,147.7574
-40.8681,147.7503
-40.8759,147.7519
-40.8655,147.7566
-40.8798,147.7800
-40.8869,147.8220
-40.8870,147.8353
-40.8805,147.8568
-40.8681,147.8826
-40.8711,147.8807
-40.8706,147.8791
-40.8717,147.8804
-40.8829,147.8738
-40.8776,147.9041
-40.8690,147.9128
-40.8684,147.9106
-40.8692,147.9115
-40.8692,147.9066
-40.8713,147.9054
-40.8777,147.8850
-40.8651,147.8881
-40.8635,147.8870
-40.8410,147.9122
-40.8152,147.9329
-40.7932,147.9467
-40.7919,147.9462
-40.7915,147.9476
-40.7896,147.9477
-40.7884,147.9450
-40.7836,147.9451
-40.7769,147.9500
-40.7754,147.9538
-40.7647,147.9588
-40.7583,147.9598
-40.7549,147.9587
-40.7544,147.9549
-40.7524,147.9539
-40.7511,147.9502
-40.7533,147.9478
-40.7527,147.9427
-40.7391,147.9395
-40.7464,147.9499
-40.7495,148.0165
-40.7528,148.0177
-40.7537,148.0205
-40.7529,148.0270
-40.7502,148.0306
-40.7628,148.0353
-40.7649,148.0327
-40.7729,148.0391
-40.7746,148.0440
-40.7745,148.0487
-40.7730,148.0417
-40.7692,148.0427
-40.7692,148.0440
-40.7666,148.0382
-40.7621,148.0375
-40.7666,148.0430
-40.7710,148.0550
-40.7714,148.0765
-40.7737,148.0857
-40.7769,148.0874
-40.7910,148.1022
-40.7994,148.1066
-40.8135,148.1181
-40.8283,148.1368
-40.8342,148.1508
-40.8347,148.1481
-40.8298,148.1335
-40.8230,148.1271
-40.8257,148.1213
-40.8190,148.1215
-40.8139,148.1152
-40.8168,148.1153
-40.8175,148.1120
-40.8205,148.1172
-40.8205,148.1081
-40.8228,148.1134
-40.8267,148.1116
-40.8281,148.1118
-40.8281,148.1146
-40.8305,148.1140
-40.8330,148.1246
-40.8360,148.1261
-40.8378,148.1540
-40.8391,148.1542
-40.8396,148.1547
-40.8400,148.1574
-40.8404,148.1580
-40.8406,148.1592
-40.8399,148.1574
-40.8394,148.1548
-40.8380,148.1542
-40.8391,148.1717
-40.8383,148.1745
-40.835,148.1769
