start,Lingiari
-13.7938,136.7124
-13.8431,136.7268
-13.8323,136.7544
-13.8552,136.8014
-13.8498,136.8281
-13.8239,136.8447
-13.8024,136.8372
-13.8341,136.7969
-13.7803,136.8393
-13.7454,136.8393
-13.7641,136.9052
-13.8065,136.9244
-13.8428,136.8839
-13.9128,136.8578
-13.9041,136.8125
-13.9511,136.7708
-14.0083,136.7648
-14.0249,136.7826
-14.0181,136.8075
-14.0358,136.8075
-14.0397,136.7840
-14.0580,136.7773
-14.0464,136.7601
-14.0869,136.7522
-14.0661,136.7376
-14.0686,136.7220
-14.1042,136.7206
-14.1218,136.6998
-14.1878,136.7224
-14.1957,136.7632
-14.1863,136.7886
-14.1694,136.7708
-14.1442,136.7770
-14.1471,136.8006
-14.2107,136.8631
-14.2015,136.8955
-14.1648,136.9181
-14.1376,136.9112
-14.1438,136.9306
-14.1643,136.9283
-14.1648,136.9640
-14.2037,136.9342
-14.2449,136.9598
-14.2603,136.9407
-14.2826,136.9645
-14.2840,136.9352
-14.3032,136.9516
-14.2845,136.9135
-14.3101,136.9048
-14.3079,136.8908
-14.2781,136.8595
-14.2951,136.8424
-14.2774,136.8191
-14.2943,136.8147
-14.2885,136.8027
-14.2706,136.8094
-14.2580,136.7554
-14.2758,136.6942
-14.2977,136.6824
-14.2870,136.6703
-14.2962,136.6498
-14.2650,136.6281
-14.2370,136.4908
-14.1963,136.4373
-14.2023,136.3955
-14.2461,136.3247
-14.2133,136.3244
-14.1694,136.4114
-14.1234,136.4426
-13.9763,136.4081
-13.8935,136.4361
