start,Maranoa
-25.8944,149.6491
-25.8722,149.6818
-25.8690,149.6922
-25.8495,149.7359
-25.9048,149.7672
-25.9060,149.7713
-25.8907,149.7830
-25.8594,149.7663
-25.8523,149.7708
-25.8579,149.7873
-25.8554,149.7915
-25.8508,149.7938
-25.8488,149.7979
-25.8492,149.8033
-25.8521,149.8098
-25.8517,149.8173
-25.8492,149.8228
-25.8430,149.8276
-25.8405,149.8270
-25.8399,149.8215
-25.8282,149.8235
-25.8287,149.8271
-25.8370,149.8385
-25.8374,149.8508
-25.8294,149.8824
-25.8208,149.8866
-25.8236,149.8944
-25.8147,149.8975
-25.8185,149.8989
-25.8196,149.9053
-25.8171,149.9063
-25.8214,149.9139
-25.8264,149.9187
-25.8320,149.9276
-25.8394,149.9319
-25.8396,149.9503
-25.8412,149.9543
-25.8506,149.9614
-25.8511,149.9649
-25.8476,149.9735
-25.8470,149.9900
-25.8574,150.0134
-25.8652,150.0217
-25.8296,150.0270
-25.8346,150.0280
-25.8363,150.0302
-25.8365,150.0362
-25.8323,150.0424
-25.8339,150.0445
-25.8392,150.0453
-25.8398,150.0500
-25.8325,150.0530
-25.8131,150.0559
-25.8120,150.0854
-25.8065,150.0910
-25.7945,150.0965
-25.7969,150.0989
-25.7955,150.1044
-25.8109,150.1148
-25.8183,150.1287
-25.8229,150.1416
-25.8193,150.1531
-25.8191,150.1590
-25.8118,150.1739
-25.8057,150.1787
-25.8056,150.1807
-25.7951,150.1806
-25.7804,150.1744
-25.7844,150.2142
-25.7887,150.2367
-25.7945,150.2433
-25.7954,150.2485
-25.7881,150.2496
-25.7884,150.2578
-25.7962,150.2730
-25.7962,150.2791
-25.7788,150.2819
-25.7802,150.2950
-25.7904,150.3366
-25.8149,150.3411
-25.8176,150.3454
-25.8183,150.3611
-25.8154,150.3705
-25.8145,150.3887
-25.8058,150.3867
-25.8012,150.3928
-25.7959,150.3951
-25.7904,150.4044
-25.7891,150.4179
-25.7739,150.4260
-25.7370,150.4295
-25.7336,150.4341
-25.6942,150.4220
-25.6868,150.4227
-25.6751,150.4184
-25.6653,150.4265
-25.6614,150.4364
-25.6217,150.4425
-25.6063,150.4367
-25.6015,150.4410
-25.5988,150.4460
-25.6061,150.4840
-25.6284,150.4954
-25.6359,150.5041
-25.6402,150.5175
-25.6449,150.5245
-25.6410,150.5405
-25.6417,150.5529
-25.6384,150.5704
-25.6438,150.5851
-25.6526,150.5910
-25.6597,150.6541
-25.6741,150.6562
-25.6790,150.6589
-25.6822,150.6638
-25.6846,150.6635
-25.6927,150.6557
-25.6980,150.6555
-25.6991,150.6514
-25.7055,150.6466
-25.7159,150.6430
-25.7266,150.6498
-25.7332,150.6646
-25.7574,150.6637
-25.7579,150.6680
-25.7733,150.6604
-25.7745,150.6504
-25.7852,150.6444
-25.8009,150.6576
-25.8046,150.6506
-25.8147,150.6593
-25.8214,150.6711
-25.8274,150.6725
-25.8308,150.6796
-25.8509,150.6975
-25.8557,150.6992
-25.8645,150.6950
-25.8719,150.6935
-25.8774,150.6897
-25.8828,150.6806
-25.8876,150.6792
-25.8915,150.6785
-25.8980,150.6804
-25.9019,150.6845
-25.9145,150.6847
-25.9223,150.6808
-25.9286,150.6796
-25.9428,150.6691
-25.9492,150.6697
-25.9631,150.6747
-25.9697,150.6725
-25.9740,150.7016
-25.9848,150.7141
-25.9850,150.7193
-25.9808,150.7252
-25.9799,150.7294
-25.9814,150.7633
-25.9909,150.7665
-25.9913,150.7704
-25.9948,150.7703
-25.9983,150.7735
-26.0085,150.7773
-26.0122,150.7757
-26.0152,150.7791
-26.0156,150.7831
-26.0186,150.7859
-26.0223,150.7854
-26.0284,150.7809
-26.0431,150.7885
-26.0489,150.7898
-26.0564,150.8495
-26.0193,150.9039
-26.0127,150.9063
-26.0083,150.9059
-26.0040,150.9140
-26.0050,150.9204
-26.0117,150.9268
-26.0132,150.9330
-26.0117,150.9335
-26.0126,150.9385
-26.0100,150.9498
-26.0138,150.9621
-26.0078,150.9839
-26.0114,150.9834
-26.0152,150.9891
-26.0312,150.9938
-26.0432,151.0030
-26.0495,151.0020
-26.0589,151.0082
-26.0704,151.0101
-26.0772,151.0158
-26.0877,151.0401
-26.0888,151.0542
-26.0904,151.0562
-26.0854,151.0673
-26.0953,151.0738
-26.0960,151.0777
-26.1002,151.0846
-26.1051,151.0881
