start,Lingiari
-15.5503,136.8444
-15.5491,136.8449
-15.5423,136.8415
-15.5423,136.8415
-15.5392,136.8448
-15.5373,136.8528
-15.5327,136.8604
-15.5260,136.8630
-15.5248,136.8602
-15.5167,136.8688
-15.5173,136.8706
-15.5163,136.8737
-15.5129,136.8747
-15.5089,136.8793
-15.5056,136.8806
-15.5320,136.8737
-15.5320,136.8737
-15.5320,136.8737
-15.5320,136.8737
-15.5457,136.8810
-15.5462,136.8804
-15.5524,136.8828
-15.5562,136.8825
-15.5575,136.8846
-15.5657,136.8882
-15.5708,136.8877
-15.5796,136.8906
-15.5854,136.8962
-15.5869,136.9031
-15.5893,136.9044
-15.5905,136.9038
-15.5961,136.8899
-15.5942,136.8895
-15.5940,136.8868
-15.5975,136.8865
-15.6038,136.8706
-15.6029,136.8699
-15.6045,136.8689
-15.6073,136.8619
-15.6073,136.8619
-15.6073,136.8619
-15.6097,136.8630
-15.6171,136.8753
-15.6121,136.8776
-15.6134,136.8819
-15.6134,136.8819
-15.6182,136.8809
-15.6221,136.8775
-15.6288,136.8791
-15.6303,136.8811
-15.6367,136.8808
-15.6367,136.8808
-15.6369,136.8783
-15.6340,136.8787
-15.6330,136.8762
-15.6359,136.8702
-15.6398,136.8674
-15.6397,136.8613
-15.6419,136.8585
-15.6422,136.8534
-15.6450,136.8524
-15.6471,136.8454
-15.6471,136.8454
-15.6441,136.8436
-15.6413,136.8443
-15.6351,136.8384
end
start,Lingiari
-15.6103,136.8718
-15.6104,136.8718
-15.6104,136.8718
-15.6103,136.8718
end
start,Lingiari
-15.5662,136.8363
-15.5848,136.8356
-15.5848,136.8356
-15.5836,136.8237
-15.5821,136.8194
-15.5829,136.8167
-15.5813,136.8011
-15.5731,136.7968
-15.5751,136.7922
-15.5787,136.7906
-15.5769,136.7882
-15.5797,136.7848
-15.5786,136.7735
-15.5754,136.7776
-15.5749,136.7811
-15.5696,136.7846
-15.5689,136.7868
-15.5649,136.7879
-15.5600,136.7930
-15.5600,136.7930
-15.5628,136.8050
-15.5601,136.8064
-15.5602,136.8237
-15.5605,136.8260
-15.5602,136.8266
-15.5603,136.8361
-15.5636,136.8357
-15.5639,136.8334
-15.5678,136.8308
-15.5689,136.8280
-15.5706,136.8278
-15.5716,136.8295
-15.5669,136.8338
-15.5662,136.8363
end
start,Lingiari
-15.1493,129.2116
-15.1346,129.2193
-15.1346,129.2193
-15.1355,129.2228
-15.1472,129.2188
-15.1472,129.2187
-15.1500,129.2119
-15.1493,129.2116
end
start,Lingiari
-14.8034,129.6900
-14.7839,129.6716
-14.7838,129.6720
-14.8041,129.7320
-14.8041,129.7320
-14.8132,129.7198
-14.8062,129.6938
-14.8034,129.6900
end
start,Lingiari
-13.2084,130.1058
-13.2101,130.1060
-13.2100,130.1049
-13.2147,130.1049
-13.2176,130.1069
-13.2240,130.1077
-13.2221,130.1074
-13.2231,130.1062
-13.2112,130.0872
-13.2072,130.0858
-13.2098,130.0850
-13.2049,130.0863
-13.2027,130.0879
-13.2018,130.0871
-13.1974,130.0884
-13.1956,130.0912
-13.2084,130.1058
end
start,Lingiari
-13.1942,130.0896
-13.1953,130.0908
-13.1947,130.0892
-13.1942,130.0896
end
start,Lingiari
-13.1689,130.0192
-13.1588,130.0186
-13.1423,130.0189
-13.1247,130.0167
-13.1247,130.0167
-13.1112,130.0184
-13.1112,130.0184
-13.1309,130.0226
-13.1407,130.0208
-13.1491,130.0264
-13.1497,130.0266
-13.1497,130.0269
-13.1508,130.0276
-13.1548,130.0345
-13.1542,130.0432
-13.1513,130.0479
-13.1520,130.0576
-13.1520,130.0576
-13.1520,130.0576
-13.1737,130.0745
-13.1744,130.0744
-13.1787,130.0580
-13.1772,130.0541
-13.1782,130.0448
-13.1759,130.0471
-13.1775,130.0435
-13.1831,130.0410
-13.1831,130.0410
-13.1689,130.0192
end
start,Lingiari
-13.4850,136.0768
-13.4821,136.0764
-13.4815,136.0789
-13.4689,136.0775
-13.4677,136.0790
-13.4658,136.0770
-13.4663,136.0744
-13.4659,136.0743
-13.4620,136.0760
-13.4628,136.0796
-13.4606,136.0809
-13.4530,136.0787
-13.4436,136.0821
-13.4436,136.0821
-13.4436,136.0821
-13.4523,136.0864
-13.4539,136.0951
-13.4649,136.1091
-13.4708,136.0996
-13.4715,136.0959
-13.4738,136.0938
-13.4740,136.0849
-13.4719,136.0826
-13.4776,136.0795
-13.4827,136.0804
-13.4850,136.0768
-13.4850,136.0768
end
start,Lingiari
-13.4823,136.1218
-13.4820,136.1219
-13.4793,136.1246
-13.4749,136.1241
-13.4709,136.1254
