start,Denison
-40.8590,147.5950
-40.8561,147.5989
-40.8547,147.5976
-40.8518,147.5987
-40.8508,147.5950
-40.8491,147.5948
-40.8210,147.6696
-40.8603,147.7064
-40.8576,147.7574
-40.8681,147.7503
-40.8759,147.7519
-40.8651,147.7564
-40.8798,147.7800
-40.8869,147.8220
-40.8681,147.8826
-40.8829,147.8738
-40.8776,147.9041
-40.8690,147.9128
-40.8777,147.8850
-40.8635,147.8870
-40.7647,147.9588
-40.7549,147.9587
-40.7527,147.9427
-40.7391,147.9395
-40.7464,147.9499
-40.7502,148.0306
-40.7729,148.0391
-40.7621,148.0375
-40.7737,148.0857
-40.8292,148.1384
-40.8296,148.1752
-40.8347,148.1481
-40.8257,148.1213
-40.8139,148.1152
-40.8360,148.1261
-40.8387,148.1738
-40.8209,148.1783
-40.8460,148.2227
-40.8763,148.2268
-40.8924,148.2619
-40.8974,148.2651
-40.9001,148.2627
-40.9004,148.2592
-40.9041,148.2579
-40.9046,148.2547
-40.9027,148.2514
-40.9113,148.2368
-40.9136,148.2288
-40.9198,148.2248
-40.9211,148.2212
-40.9196,148.2152
-40.9223,148.2134
-40.9261,148.2136
-40.9280,148.2162
-40.9325,148.2175
-40.9354,148.2131
-40.9378,148.2124
-40.9311,148.1863
-40.9337,148.1855
-40.9235,148.1167
-40.9422,148.1120
-40.9407,148.1036
-40.9376,148.0986
-40.9361,148.0874
-40.9378,148.0889
-40.9416,148.0855
-40.9490,148.0858
-40.9520,148.0824
-40.9537,148.0856
-40.9559,148.0845
-40.9605,148.0857
-40.9631,148.0812
-40.9683,148.0822
-40.9715,148.0784
-40.9767,148.0789
-40.9791,148.0775
-40.9815,148.0780
-40.9830,148.0806
-40.9884,148.0804
-40.9953,148.0742
-40.9976,148.0752
-40.9983,148.0787
-41.0009,148.0809
-41.0024,148.0800
-41.0056,148.0815
-41.0064,148.0793
-41.0104,148.0788
-41.0134,148.0811
-41.0154,148.0778
-41.0147,148.0744
-41.0217,148.0762
-41.0233,148.0740
-41.0307,148.0731
-41.0313,148.0710
-41.0334,148.0712
-41.0337,148.0687
-41.0422,148.0739
-41.0478,148.0732
-41.0519,148.0775
-41.0518,148.0803
-41.0570,148.0803
-41.0602,148.0820
-41.0650,148.0770
-41.0674,148.0713
-41.0720,148.0711
-41.0722,148.0697
-41.0738,148.0711
-41.0870,148.0622
-41.0959,148.0683
-41.1051,148.0626
-41.1064,148.0648
-41.1129,148.0652
-41.1173,148.0695
-41.1196,148.0698
-41.1245,148.0796
-41.1244,148.0824
-41.1289,148.0792
-41.1321,148.0822
-41.1534,148.0051
-41.1684,147.9348
-41.1649,147.8895
-41.2765,147.8586
-41.3329,147.8407
-41.3724,147.8337
-41.3807,147.5904
-41.3931,147.6017
-41.3977,147.6087
-41.4074,147.6063
-41.4092,147.6192
-41.4264,147.6158
-41.4281,147.6287
-41.4514,147.6273
-41.4591,147.6340
-41.4573,147.6376
-41.4643,147.6436
-41.4654,147.6413
-41.4707,147.6459
-41.4741,147.6396
-41.4784,147.6480
-41.5135,147.5789
-41.5060,147.5719
-41.5112,147.5621
-41.5074,147.5399
-41.5147,147.5258
-41.5162,147.5274
-41.5205,147.5261
-41.5304,147.5065
-41.5220,147.4987
-41.5286,147.4863
-41.5180,147.4761
-41.5218,147.4685
-41.5205,147.4671
-41.5233,147.4615
-41.5220,147.4603
-41.5387,147.4281
-41.5430,147.4320
-41.5561,147.4064
-41.5497,147.4008
-41.5560,147.3879
-41.5363,147.3678
-41.5120,147.3467
-41.5293,147.3127
-41.5204,147.3028
-41.5296,147.2858
-41.5216,147.2781
-41.5309,147.2610
-41.5244,147.2552
-41.5281,147.2485
-41.5124,147.2331
-41.5108,147.2361
-41.5070,147.2328
-41.5081,147.2306
-41.4992,147.2271
-41.4980,147.2241
-41.4954,147.2242
-41.4935,147.2223
-41.5052,147.2070
