start,Barker
-34.5976,137.8758
-34.6036,137.8793
-34.6089,137.8858
-34.6158,137.9076
-34.6219,137.9019
-34.6262,137.9015
-34.6422,137.8921
-34.6461,137.8861
-34.6498,137.8864
-34.6555,137.8843
-34.6684,137.8768
-34.6684,137.8768
-34.6684,137.8768
-34.7163,137.8716
-34.7226,137.8688
-34.7259,137.8699
-34.7388,137.8670
-34.7450,137.8674
-34.7615,137.8624
-34.7660,137.8649
-34.7676,137.8589
-34.7712,137.8577
-34.7768,137.8608
-34.7779,137.8650
-34.7779,137.8650
-34.7891,137.8538
-34.7968,137.8496
-34.8127,137.8317
-34.8165,137.8311
-34.8261,137.8255
-34.8371,137.8239
-34.8492,137.8134
-34.8564,137.8110
-34.8612,137.8073
-34.8691,137.8055
-34.8775,137.8000
-34.8775,137.8000
-34.8941,137.7955
-34.9034,137.7971
-34.9061,137.7960
-34.9092,137.7987
-34.9121,137.8050
-34.9121,137.8050
-34.9121,137.8050
-34.9222,137.7902
-34.9268,137.7883
-34.9299,137.7891
-34.9346,137.7853
-34.9398,137.7839
-34.9470,137.7840
-34.9593,137.7738
-34.9613,137.7747
-34.9665,137.7701
-34.9797,137.7636
-34.9965,137.7573
-34.9967,137.7573
-35.0237,137.7614
-35.0254,137.7614
-35.0267,137.7618
-35.0405,137.7639
-35.0405,137.7639
-35.0405,137.7639
-35.0440,137.7537
-35.0420,137.7429
-35.0441,137.7338
-35.0475,137.7276
-35.0495,137.7269
-35.0521,137.7284
-35.0537,137.7247
-35.0537,137.7247
-35.0537,137.7247
-35.0548,137.7252
-35.0548,137.7253
-35.0926,137.7463
-35.1003,137.7426
-35.1034,137.7434
-35.1112,137.7555
-35.1114,137.7568
-35.1146,137.7585
-35.1171,137.7532
-35.1360,137.7098
-35.1361,137.7096
-35.1415,137.6973
-35.1483,137.6878
-35.1600,137.6825
-35.1613,137.6825
-35.1677,137.6778
-35.1677,137.6778
-35.1677,137.6778
-35.1680,137.6530
-35.1668,137.6516
-35.1675,137.6462
-35.1662,137.6430
-35.1682,137.6374
-35.1616,137.6306
-35.1608,137.6254
-35.1590,137.6226
-35.1523,137.6168
-35.1435,137.6061
-35.1390,137.5952
-35.1312,137.5847
-35.1309,137.5808
-35.1174,137.5548
-35.1174,137.5548
-35.1174,137.5548
-35.1129,137.5258
-35.1130,137.5251
-35.1072,137.4864
-35.0992,137.4641
-35.0977,137.4508
-35.0980,137.4255
-35.0978,137.4243
-35.0980,137.4239
-35.0980,137.4228
-35.1205,137.3735
-35.1339,137.3522
-35.1339,137.3522
-35.1339,137.3522
-35.1426,137.3444
-35.1494,137.3407
-35.1552,137.3405
-35.1561,137.3408
-35.1631,137.3372
-35.1638,137.3345
-35.1645,137.3365
-35.1678,137.3348
-35.1651,137.3076
-35.1667,137.3027
-35.1663,137.2923
-35.1614,137.2775
-35.1590,137.2647
-35.1591,137.2586
-35.1645,137.2377
-35.1645,137.2377
-35.1645,137.2377
-35.1684,137.2338
-35.1764,137.2186
-35.1919,137.2035
-35.2089,137.1903
-35.2132,137.1929
-35.2173,137.1900
-35.2191,137.1899
-35.2318,137.1788
-35.2319,137.1772
-35.2373,137.1739
-35.2373,137.1739
-35.2355,137.1683
-35.2383,137.1626
-35.2383,137.1626
-35.2372,137.1601
-35.2386,137.1589
-35.2392,137.1530
-35.2390,137.1515
-35.2393,137.1511
-35.2414,137.1277
-35.2375,137.1185
-35.2390,137.1124
-35.2414,137.1117
-35.2422,137.1130
-35.2429,137.1114
-35.2429,137.1114
-35.2316,137.0942
-35.2263,137.0766
-35.2263,137.0766
-35.2257,137.0612
-35.2251,137.0598
-35.2212,137.0363
-35.2213,137.0157
-35.2232,137.0013
-35.2273,136.9927
-35.2327,136.9878
-35.2354,136.9830
-35.2445,136.9796
-35.2452,136.9798
-35.2512,136.9741
-35.2520,136.9697
-35.2584,136.9671
