start,Ballarat
-37.0658,144.7283
-37.0703,144.7245
-37.0732,144.7263
-37.0825,144.7252
-37.0839,144.7270
-37.0901,144.7169
-37.1048,144.7137
-37.1110,144.7170
-37.1155,144.7153
-37.1179,144.7162
-37.1256,144.7280
-37.1265,144.7352
-37.1444,144.7311
-37.1438,144.7257
-37.1596,144.7265
-37.1597,144.7102
-37.1764,144.7118
-37.1764,144.7141
-37.1835,144.7145
-37.1835,144.7160
-37.2087,144.7160
-37.2101,144.7114
-37.2125,144.7090
-37.2127,144.7065
-37.2111,144.7058
-37.2202,144.6913
-37.2288,144.6899
-37.2282,144.6835
-37.2228,144.6846
-37.2235,144.6831
-37.2183,144.6786
-37.2191,144.6772
-37.2132,144.6716
-37.2106,144.6751
-37.2099,144.6639
-37.2087,144.6640
-37.2082,144.6599
-37.2141,144.6605
-37.2151,144.6518
-37.2172,144.6512
-37.2182,144.6482
-37.2199,144.6495
-37.2216,144.6483
-37.2232,144.6365
-37.2300,144.6258
-37.2367,144.6234
-37.2386,144.6183
-37.2409,144.6173
-37.2425,144.6136
-37.2412,144.6128
-37.2410,144.6080
-37.2442,144.6037
-37.2403,144.5999
-37.2405,144.5971
-37.2480,144.5918
-37.2548,144.5919
-37.2556,144.6126
-37.2571,144.6126
-37.2571,144.6181
-37.2622,144.6181
-37.2612,144.6228
-37.2647,144.6220
-37.2653,144.6268
-37.2700,144.6253
-37.2732,144.6220
-37.2737,144.6263
-37.2832,144.6245
-37.2857,144.6436
-37.2918,144.6425
-37.2929,144.6601
-37.2999,144.6566
-37.2999,144.6487
-37.3048,144.6479
-37.3113,144.6389
-37.3363,144.6342
-37.3342,144.617
-37.3321,144.6143
-37.3349,144.6138
-37.3354,144.6043
-37.3595,144.6002
-37.3587,144.5949
-37.3612,144.5942
-37.3581,144.5934
-37.3590,144.5880
-37.3566,144.5863
-37.3561,144.5816
-37.3595,144.5810
-37.3589,144.5759
-37.3694,144.5737
-37.3688,144.5689
-37.3741,144.5680
-37.3738,144.5655
-37.3830,144.5641
-37.3828,144.5620
-37.3855,144.5616
-37.3846,144.5540
-37.3821,144.5504
-37.3827,144.5455
-37.3893,144.5454
-37.3937,144.5380
-37.3999,144.5362
-37.3990,144.5271
-37.4027,144.5218
-37.4061,144.5207
-37.4150,144.5128
-37.4176,144.5008
-37.4162,144.4969
-37.4102,144.4948
-37.4140,144.4782
-37.4315,144.4724
-37.4287,144.4704
-37.4282,144.4663
-37.4368,144.4641
-37.4360,144.4617
-37.4390,144.4576
-37.4506,144.4502
-37.4483,144.4465
-37.4501,144.4441
-37.4503,144.4332
-37.4569,144.4297
-37.4588,144.4263
-37.4536,144.4185
-37.4488,144.4185
-37.4466,144.4169
-37.4387,144.3792
-37.4237,144.3825
-37.4236,144.3801
-37.4198,144.3807
-37.4159,144.3778
-37.3933,144.3819
-37.3962,144.4157
-37.3897,144.4174
-37.3823,144.4151
-37.3605,144.4190
-37.3581,144.3927
-37.3502,144.3916
-37.3315,144.3957
-37.3297,144.3802
-37.3260,144.3736
-37.3200,144.3690
-37.3184,144.3604
-37.3096,144.3403
-37.3020,144.3302
-37.2982,144.3161
-37.2927,144.3104
-37.2883,144.3122
-37.2872,144.3142
-37.2825,144.3153
-37.2838,144.3185
-37.2812,144.3180
-37.2793,144.3208
-37.2715,144.3197
-37.2642,144.3234
-37.2596,144.3239
-37.2554,144.3279
-37.2568,144.3335
-37.2537,144.3330
-37.2524,144.3352
-37.2491,144.3353
-37.2464,144.3377
-37.2424,144.3378
-37.2262,144.3439
-37.2146,144.3567
-37.2127,144.3563
-37.2081,144.3613
-37.2067,144.3683
-37.2022,144.3761
-37.1958,144.3753
-37.1940,144.3603
-37.1794,144.3629
-37.1808,144.3755
-37.1749,144.3803
-37.1758,144.3773
-37.1731,144.3744
-37.1697,144.3452
-37.1656,144.3374
-37.1697,144.3310
-37.1718,144.3308
-37.1668,144.3277
-37.1635,144.2921
-37.2080,144.2842
-37.2090,144.2766
-37.2055,144.2753
-37.2034,144.2570
-37.2045,144.2572
-37.1961,144.1919
-37.1937,144.1907
-37.1956,144.1887
-37.1953,144.1851
-37.1661,144.1904
-37.1671,144.1851
-37.1657,144.1828
-37.1669,144.1827
-37.1672,144.1787
-37.1651,144.1780
-37.1639,144.1734
-37.1628,144.1566
-37.1607,144.1570
-37.1623,144.1460
-37.1588,144.1214
-37.1533,144.1223
-37.1502,144.0959
-37.1483,144.0962
-37.1501,144.0934
-37.1476,144.0743
-37.1599,144.0720
-37.1629,144.0699
-37.2023,144.0640
-37.2019,144.0611
-37.2077,144.0600
-37.2104,144.0675
-37.2173,144.0649
-37.2248,144.0660
-37.2368,144.0605
-37.2444,144.0644
-37.2521,144.0627
-37.2498,144.0542
-37.2559,144.0421
-37.2636,144.0376
-37.2702,144.0386
-37.2684,144.0356
-37.2649,144.0361
-37.2630,144.0343
-37.2617,144.0290
-37.2627,144.0252
-37.2593,144.0238
-37.2628,144.0219
-37.2633,144.0188
-37.2624,144.0191
-37.2611,144.0183
-37.2625,144.0186
-37.2632,144.0167
-37.2609,144.0165
-37.2614,144.0141
-37.2581,144.0102
-37.2581,144.0068
-37.2557,144.0062
-37.2567,144.0039
-37.2549,144.0011
-37.2534,144.0023
-37.2509,144.0014
-37.2440,143.9949
-37.2439,143.9988
-37.2413,144.0005
-37.2353,143.9967
-37.2367,143.9937
-37.2331,143.9918
-37.2318,143.9872
-37.2334,143.9839
-37.2311,143.9827
-37.2310,143.9798
-37.2281,143.9805
-37.2299,143.9770
-37.2277,143.9745
-37.2281,143.9705
-37.2204,143.9588
-37.2179,143.9583
-37.2159,143.9556
-37.2138,143.9563
-37.1967,143.9478
-37.1937,143.9515
-37.1893,143.9527
-37.1884,143.9550
-37.1857,143.9542
-37.1831,143.9566
-37.1827,143.9602
-37.1765,143.9626
-37.1732,143.9616
-37.1726,143.9592
-37.1708,143.9596
-37.1703,143.9614
-37.1685,143.9588
-37.1644,143.9608
-37.1632,143.9638
-37.1582,143.9634
-37.1556,143.9616
-37.1533,143.9632
-37.1485,143.9629
-37.1400,143.9552
-37.1375,143.9582
-37.1315,143.9604
-37.1293,143.9628
-37.1236,143.9610
-37.1176,143.9627
-37.1158,143.9617
-37.1108,143.9652
-37.1075,143.9634
-37.1043,143.9658
-37.1007,143.9646
-37.0976,143.9694
-37.0933,143.9701
-37.0919,143.9723
-37.0938,143.9751
-37.0994,143.9778
-37.1000,143.9798
-37.0957,143.9821
-37.0922,143.9814
-37.0868,143.9860
-37.0847,143.9945
-37.0788,143.9994
-37.0768,144.0120
-37.0740,144.0137
-37.0634,144.0106
-37.0579,144.0044
-37.0541,143.9916
-37.0477,143.9897
-37.0429,143.9838
-37.0369,143.9814
-37.0328,143.9754
-37.0293,143.9734
-37.0212,143.8994
-37.0235,143.8956
-37.0005,143.8996
-36.9985,143.8822
-36.9863,143.8842
-36.9807,143.8306
-36.9785,143.8359
-36.9735,143.8340
-36.9718,143.8370
-36.9691,143.8365
-36.9683,143.8345
-36.9632,143.8364
-36.9618,143.8413
-36.9629,143.8456
-36.9599,143.8472
-36.9577,143.8462
-36.9573,143.8518
-36.9499,143.8598
-36.9471,143.8556
-36.9440,143.8556
-36.9373,143.8522
-36.9346,143.8486
-36.9304,143.8498
-36.9279,143.8465
-36.9225,143.8538
-36.9163,143.8574
-36.9155,143.8629
-36.9095,143.8632
-36.9069,143.8672
-36.9039,143.8655
-36.9012,143.8663
-36.9022,143.8764
-36.8944,143.8777
-36.8954,143.8880
-36.8939,143.8920
-36.8907,143.8899
-36.8816,143.8918
-36.8978,144.0258
-36.8906,144.0272
-36.8910,144.0302
-36.8853,144.0314
-36.8854,144.0331
-36.7990,144.0495
-36.7986,144.0466
-36.7922,144.0479
-36.7815,144.0593
-36.7666,144.0623
-36.7664,144.0712
-36.7431,144.0756
-36.7346,144.0677
-36.7318,144.0682
-36.7307,144.0598
-36.7193,144.0620
-36.7201,144.0684
-36.6925,144.0684
-36.6914,144.0672
-36.6914,144.0686
-36.6620,144.0684
-36.6621,144.0907
-36.6620,144.1258
-36.6474,144.1256
-36.6474,144.1404
-36.6181,144.1404
-36.6184,144.1847
-36.5823,144.1743
-36.5656,144.1629
-36.5305,144.1692
-36.5244,144.1706
-36.5244,144.1992
-36.5164,144.1992
-36.5164,144.2046
-36.4875,144.2096
-36.4872,144.3441
-36.3852,144.3443
-36.3851,144.3583
-36.3914,144.3585
-36.3918,144.3609
-36.3944,144.3589
-36.3942,144.3616
-36.3967,144.3625
-36.3956,144.3683
-36.4078,144.3693
-36.4075,144.3997
-36.3963,144.4157
-36.4113,144.4302
-36.4066,144.4300
-36.4065,144.6681
-36.4108,144.6652
-36.4127,144.6690
-36.4181,144.6697
-36.4192,144.6722
-36.4255,144.6742
-36.4241,144.6695
-36.4271,144.6657
-36.4310,144.6660
-36.4331,144.6610
-36.4404,144.6587
-36.4397,144.6613
-36.4417,144.6633
-36.4431,144.6719
-36.4472,144.6737
-36.4476,144.6700
-36.4508,144.6683
-36.4571,144.6715
-36.4586,144.6671
-36.4603,144.6676
-36.4610,144.6655
-36.4590,144.6614
-36.4637,144.6592
-36.4633,144.6566
-36.4656,144.6532
-36.4726,144.6547
-36.4743,144.6490
-36.4715,144.6464
-36.4741,144.6394
-36.4806,144.6338
-36.4806,144.6319
-36.4778,144.6293
-36.4785,144.6238
-36.4813,144.6206
-36.4846,144.6214
-36.4848,144.6238
-36.4870,144.6228
-36.4913,144.6258
-36.4945,144.6230
-36.4929,144.6183
-36.4991,144.6113
-36.4996,144.6144
-36.5018,144.6125
-36.5045,144.6151
-36.5023,144.6162
-36.5017,144.6213
-36.5045,144.6235
-36.5089,144.6199
-36.5109,144.6134
-36.5167,144.6102
-36.5207,144.6129
-36.5205,144.6209
-36.5248,144.6264
-36.5273,144.6260
-36.5283,144.6239
-36.5258,144.6201
-36.5286,144.6134
-36.5289,144.6084
-36.5324,144.6096
-36.5328,144.6129
-36.5352,144.6137
-36.5345,144.6163
-36.5378,144.6171
-36.5431,144.6146
-36.5468,144.6062
-36.5500,144.6088
-36.5524,144.6083
-36.5529,144.6113
-36.5559,144.6105
-36.5571,144.6088
-36.5548,144.6061
-36.5544,144.6018
-36.5578,144.5872
-36.5625,144.5871
-36.5689,144.5959
-36.5745,144.5984
-36.5839,144.5891
-36.5829,144.5853
-36.5847,144.5834
-36.5926,144.5895
-36.5948,144.5897
-36.5982,144.5862
-36.5968,144.5812
-36.5992,144.5774
-36.6029,144.5788
-36.6079,144.5710
-36.6107,144.5711
-36.6143,144.5667
-36.6134,144.5618
-36.6169,144.5603
-36.6185,144.5634
-36.6207,144.5638
-36.6242,144.5596
-36.6271,144.5600
-36.6325,144.5488
-36.6418,144.5437
-36.6467,144.5457
-36.6495,144.5390
-36.6534,144.5391
-36.6554,144.5374
-36.6591,144.5309
-36.6598,144.5254
-36.6631,144.5252
-36.6658,144.5287
-36.6704,144.5283
-36.6723,144.5310
-36.6793,144.5297
-36.6855,144.5316
-36.6880,144.5347
-36.6918,144.5324
-36.6892,144.5261
-36.6931,144.5224
-36.7019,144.5266
-36.7069,144.5246
-36.7115,144.5196
-36.7142,144.5188
-36.7159,144.5207
-36.7254,144.5180
-36.7254,144.6671
-36.7626,144.6661
-36.7612,144.6791
-36.7609,144.7229
